geoid,lon,lat
02198,-132.845862581105,55.3956898461688
02220,-135.308708601639,57.1804506965158
28049,-90.4428193657989,32.2667047267535
22085,-93.5546968518002,31.5640129406481
51001,-75.756557006061,37.7649392493102
51073,-76.52296656931,37.4012073948272
51690,-79.8636317446866,36.6826585778723
48107,-101.299958405505,33.614625015193
48391,-97.1595214872994,28.3215753261887
48053,-98.1824471876146,30.7882970128587
48339,-95.5030086880964,30.3002103756179
48431,-101.050008046051,31.8278792000439
48041,-96.3023858276613,30.6607998827066
48405,-94.1681932196466,31.3942193529661
48379,-95.7933763621224,32.8703394106854
48355,-97.5163166487192,27.7350624661305
48361,-93.8938981133126,30.1213082997164
48237,-98.1724579967814,33.2334608158206
72069,-65.7877943095413,18.1332084999405
48437,-101.735026842949,34.5303849989864
48063,-94.978476958378,32.9732247448693
48089,-96.5262752794484,29.6208209799483
48079,-102.828455085613,33.6041438918445
48371,-102.723570333904,30.781060517398
72003,-67.1867292545633,18.3762888528378
48369,-102.784524747687,34.5301016900167
72103,-65.736094696542,18.2110304935918
48161,-96.1490922997065,31.7048940816986
48197,-99.7457167352532,34.2902938843767
48495,-103.048169282358,31.8500453924448
48485,-98.7036147226045,33.9879799987539
48179,-100.812558040095,35.4011632658685
17127,-88.7077444864411,37.2190271308235
48413,-100.538546048802,30.8974526063212
72125,-67.0384210704151,18.1111202249055
38029,-100.238780596618,46.2850242392836
72135,-66.2464232958339,18.3625468704187
38039,-98.2370438970117,47.4572890117675
32019,-119.189196702579,39.0203976787225
32031,-119.664296586896,40.6654177867064
38097,-97.161580518914,47.454184919818
34029,-74.2500256199058,39.8660001707198
32017,-114.877554917622,37.6433482248266
32033,-114.901587799254,39.4421607508228
38025,-102.618243742158,47.3567524226789
32003,-115.013560931014,36.2151990515488
17069,-88.2668507936435,37.5182024447416
38065,-101.340360330195,47.1152841201818
17149,-90.8862867168108,39.6224960144257
38087,-103.459902329332,46.4472210479463
72117,-67.2646843366351,18.3392710554815
38035,-97.4569334153961,47.9219193453515
72139,-65.999124069022,18.3363112928009
38041,-102.460357957634,46.4325312773766
38037,-101.639710465977,46.3582791410795
38013,-102.518263642346,48.7910028103084
41041,-123.907699391073,44.6456751882747
38027,-98.9015837409172,47.7175861838114
41009,-123.088049035067,45.9437661113908
38073,-97.6574549780471,46.4561599523841
41011,-124.093328357122,43.1850143968713
38103,-99.6609525723219,47.5875312800038
72129,-65.9764542981939,18.1479975319965
38067,-97.5518316401076,48.7675176537885
41051,-122.415339317232,45.5468674098605
41045,-117.623069170703,43.193409191883
38007,-103.376425417804,47.0234454078293
72097,-67.6050669319145,18.1831014321009
38019,-98.4648634667025,48.7723024896146
72061,-66.1140511709992,18.3438259046252
72147,-65.4323048666312,18.1252645853527
72047,-66.3278998591027,18.3043113969128
38079,-99.8409852744206,48.7724502945927
38071,-98.7201384598622,48.2689344316961
38011,-103.520670708931,46.112605952415
32013,-118.111968146353,41.4068424414011
72039,-66.5164422088269,18.2890180373125
04007,-110.811736606625,33.7997522610631
41019,-123.179423519854,43.2853608658074
04027,-113.90556380393,32.7694043560788
32009,-117.632366036197,37.7846965380995
04025,-112.553871444736,34.5998835247266
32021,-118.435214241387,38.5388085807246
32005,-119.616372024753,38.912241403466
24001,-78.6989032588312,39.6214802194933
32011,-116.268559599313,39.9838920246819
32015,-117.037908402357,39.933806053212
04021,-111.3447160612,32.9043131324315
35013,-106.832800432765,32.3526796706702
72111,-66.7279463759015,18.0244444523769
35005,-104.467000629764,33.3631899542433
24510,-76.6106480518464,39.3009798802779
