med_state_name,med_school_name,med_city,med_est,med_degree,med_code
South Carolina,Medical University of South Carolina College of Medicine,Charleston,1823,MD,4501
South Carolina,University of South Carolina School of Medicine,Columbia,1977,MD,4504
South Carolina,Edward Via College of Osteopathic Medicine - Carolinas Campus,Spartanburg,2010,DO,4575
South Carolina,University of South Carolina School of Medicine Greenville,Greenville,2012,MD,4505
South Dakota,Sanford School of Medicine of the University of South Dakota,Vermillion,1907,MD,4601
Tennessee,University of Tennessee College of Medicine,"Memphis, Chattanooga, Knoxville (only 3rd and 4th-year)",1850,MD,4706
Tennessee,Vanderbilt University School of Medicine,Nashville,1874,MD,4705
Tennessee,Meharry Medical College School of Medicine,Nashville,1876,MD,4707
Tennessee,East Tennessee State University James H. Quillen College of Medicine,Johnson City,1978,MD,4720
Tennessee,Lincoln Memorial University DeBusk College of Osteopathic Medicine,Harrogate,2007,DO,4710
Texas,University of Texas Medical Branch School of Medicine,Galveston,1891,MD,4802
Texas,Baylor College of Medicine,"Houston, Texas",1900,MD,4804
Texas,University of Texas Southwestern Medical School at Dallas,Dallas,1943,MD,4812
Texas,University of Texas School of Medicine at San Antonio,San Antonio,1959,MD,4813
Texas,Texas Tech University Health Sciences Center School of Medicine,Lubbock,1969,MD,4815
Texas,University of North Texas Health Science Center Texas College of Osteopathic Medicine,Fort Worth,1970,DO,4878
Texas,University of Texas Medical School at Houston,Houston,1972,MD,4814
Texas,Texas A&M Health Science Center College of Medicine,College Station,1977,MD,4816
Texas,Texas Tech University Health Sciences Center Paul L. Foster School of Medicine,El Paso,2007,MD,4817
Texas,University of Texas Rio Grande Valley School of Medicine,Edinburg,2013,MD,
Texas,Dell Medical School at The University of Texas at Austin,Austin,2013,MD,
Texas,University of the Incarnate Word School of Osteopathic Medicine,San Antonio,2015,DO,
Texas,University of North Texas Health Science Center - Texas Christian University,"Fort Worth, Texas",2018,MD,
Utah,University of Utah School of Medicine,Salt Lake City,1906,MD,4901
Utah,Rocky Vista University College of Osteopathic Medicine - Southern Utah Campus,Ivins,2006,DO,
Vermont,University of Vermont College of Medicine,Burlington,1822,MD,5002
Virginia,University of Virginia School of Medicine,Charlottesville,1827,MD,5101
Virginia,"VCU School of Medicine, Medical College of Virginia Health Sciences Division",Richmond,1838,MD,5104
Virginia,Eastern Virginia Medical School,Norfolk,1973,MD,5107
Virginia,Edward Via College of Osteopathic Medicine,Blacksburg,2002,DO,5175
Virginia,Virginia Tech Carilion School of Medicine and Research Institute,Roanoke,2008,MD,5108
Virginia,Liberty University College of Osteopathic Medicine (LUCOM),Lynchburg,2013,DO,5176
Washington,University of Washington School of Medicine,"Seattle; Bozeman, MT - Anchorage, AK - Moscow, ID - Laramie, WY (only 1st-year)",1946,MD,5404
Washington,Pacific Northwest University of Health Sciences,Yakima,2005,DO,5475
Washington,Washington State University Elson S. Floyd College of Medicine,Spokane,2015,MD,
West Virginia,West Virginia University School of Medicine,Morgantown;Charleston &Martinsburg (only clinical years),1902,MD,5501
West Virginia,West Virginia School of Osteopathic Medicine,Lewisburg,1974,DO,5575
West Virginia,Joan C. Edwards School of Medicine at Marshall University,Huntington,1977,MD,5502
Wisconsin,University of Wisconsin School of Medicine and Public Health,Madison,1907,MD,5605
Wisconsin,Medical College of Wisconsin,"Milwaukee, Green Bay, Wausau",1912,MD,5606
